text,category
10,actress roberts takes spider role actress julia roberts play spider film version children classic charlotte web voice charlotte teams girl save friend wilbur pig story eb white film mix live action animation roberts project birth twins hazel phinnaeus ago oprah winfrey voice goose john cleese voice sheep steve buscemi rat 2006 film dakota fanning play fern girl centre story film directed 13 film maker gary winick filming begin melbourne australia month charlotte web sold 45 copies published 1952 animated version 1973 live action film actor voice wilbur pig revealed,entertainment
11,film production falls 40 uk number british films produced uk fell 40 2004 movies starring johnny depp jude law affected screen daily seven british films uk year drop funding compared 45 2003 trade weekly attributed drop tighter tax laws reduced funding sources lottery uk co productions fell 102 2003 81 year year government closed tax loopholes film investors taken advantage fund films uk projects shelved faced implications clampdown coupled reduction movie funding traditional sources including lottery miramax films shooting period drama tulip fever star jude law keira knightley postponed indefinitely shooting libertine starring johnny depp moved isle man isn coming replace funds libertine producer marc samuelson hiatus films medium budgets £ 9 m similar level box office hits vera drake calendar girls enduring love expected worst tax clampdown strength pound dollar expected resulted fall number films shot uk 2004 screen budget co productions harry potter series continued shot uk uk film council drop partly 2003 especially year british film production bridget jones edge reason wimbledon thunderbirds filmed uk drop expected 2003 level production bettered council spokesperson reduction indigenous film production 2004 variety factors including continuing term trend co production films changes financing arrangements early predict downward trend uk production continue uk film council september government introduced subsidies worth £ m film medium budget films treasury measures announce replacement uk film tax relief scheme section 48 july,entertainment
12,patti smith host arts festival rock star patti smith artistic director year meltdown festival held south bank centre june punk pioneer follows morrissey david bowie nick cave directing 15 concerts events smith decide line meltdown begins 11 june touch aspects culture readings genet idea jeremy irons read proust 58 year old singer night observer newspaper festival response material exploitative greedy important explore salute art aesthetically spiritually year meltdown festival directed ex smiths star morrissey included appearances singer jane birkin nancy sinatra playwright alan bennett persuaded punk band york dolls reform reunion,entertainment
13,oscar nominee dan o herlihy dies irish actor dan o herlihy nominated actor 1955 oscars died age 85 o herlihy oscar nomination luis bunuel adventures robinson crusoe died malibu california actor began film career 1940s macduff orson welles macbeth 1948 regular dublin stage later appeared robocop sequel cult tv twin peaks ceo omni consumer products 1987 robocop robocop later saw mill owner andrew packard twin peaks 1990 despite oscar nomination lead roles familiar supporting actor tv film nominated academy award won marlon brando waterfront,entertainment
14,brits return keane number brits success helped return keane award winning album hopes fears album chart debut album took best british album title brits tuesday moved seven places number number capitalising brits success scissor sisters eponymous album moved places number u2 latest single took spot singles chart elvis track album dismantle atomic bomb pushed eminem toy soldiers number number elvis wooden heart entered chart number sixth series 18 reissues mark 70th anniversary presley birth released elvis tracks occupying spots 40 singles chart lonesome tonight number number 27 jailhouse rock number 37 soldier destiny child ti lil wayne debuted number duet westlife star brian mcfadden delta goodrem fell number number follow brits success franz ferdinand best rock act best british week self titled album moved 13 number week number album tourist athlete fell number,entertainment
15,sundance honour foreign films international films prominence films sundance film festival movies dominated theme war independent film festival feature new international cinema competitions utah films debut sundance including liberace baghdad director sean mcallister prestigious festival founded actor robert redford 1981 international component enter jury competition festival director geoffrey gilmore wanted world cinema emphasis par american dramatic documentary competitions films competing new world cinema documentary category focus siege liberace baghdad features iraqi pianist hiding hotel waits visa finnish film rooms melancholia looks war chechnya shake hands devil journey romeo dallaire tells un mission rwanda 1994 genocide french israeli production wall looks israel controversial security wall separating palestinian territories 16 films competing new world cinema dramatic category works germany south korea angola china denmark australia hollywood stars feature festival american independent drama category including keanu reeves benjamin bratt vince vaughn stars quirky movie thumbsucker 21 grams actress naomi watts plays budding hollywood actress ellie parker grand jury prize festival budget sci fi thriller primer written directed shane carruth morgan spurlock earned directing award super size international box,entertainment
16,rapper snoop dogg sued rape rapper snoop dogg sued 25 m 13 m artist claimed entourage drugged raped years ago woman assaulted recording jimmy kimmel live tv abc network rapper allegations untrue woman misusing legal system means extracting financial gain abc claims merit star charged police lawsuit filed los angeles friday woman champagne spiked assaulted rapper spokesperson snoop opportunity prove court law alleged victim opportunistic deceitful confident case alleged victim claims snoop dogg rejected lawsuit names snoop dogg real calvin broadus plus associates walt disney company parent company abc inc woman waited years sue trying negotiate settlement media lawyer perry wander disney abc failed provide safe working environment client legal comes rap star sued woman claimed tried blackmail quiet alleged assault 32 rapper enjoyed albums bursting scene songs gin juice 1993,entertainment
17,de niro film leads box office film star robert de niro returned north american box office film hide seek thriller shot straight number spot taking 22 m £ 11 7 m box office de niro recently spent weeks comedy meet fockers number week oscar hopefuls aviator million dollar baby sideways cashed multiple nominations stronger ticket hide seek de niro plays widower daughter creepy imaginary friend lukewarm reviews critics film 18 m £ 9 5 m element actor psychological thriller certainly elevated bruce snyder domestic distribution 20th century fox clint eastwood million dollar baby led oscar hopefuls 11 8 m £ 6 3 m coming number weekend wide release aviator film biography howard hughes leads oscar field 11 nominations number weekend 7 5 m £ 4 m oscar picture nominee sideways entered 15th week release came seventh 6 3 £ 3 35 m week film ice cube road trip comedy slipped 17 m £ 9 m coach carter fell places number taking 8 m £ 4 25 m week rounding starring dennis quaid scarlett johansson racing stripes assault precinct 13,entertainment
18,fantasy book wins hollywood deal british author film rights children bestseller snapped seven figure sum ridley scott set direct michelle paver wolf brother fantasy set years ago planned series books film studio fox bought rights m £ 2 13 m scott company scott free develop director thrilled project wolf brother enchanting book paver lives london previously worked lawyer began writing book 1982 studying biochemistry oxford university established author love stories turned progress children novel published paver earning advance m £ 2 m highest sum paid debut children book wolf brother tells story torak old hunter lives forest father killed teams wolf cub sets rid forest evil force paver currently writing second book series michelle paver lives breathes worlds writes author ve film deal moment writing second book mind 6000 years away deep primeval forest,entertainment
19,indie film nominations announced mike leigh award abortion drama vera drake scooped seven nominations british independent film awards venice winner faces stiff competition shane meadows critically acclaimed dead man shoes received nominations running clutch awards summer love stalker drama enduring love winners announced ceremony winners awards chosen jury chaired cold mountain director anthony minghella actresses cate blanchett helena bonham carter awards recognise independent film established seven nominees reflect strength diversity british independent filmmaking bifa founder director elliot grove commenting diversity nominated selection committee harder narrowing field joining vera drake dead man shoes running best film summer love climbing documentary touching void zombie comedy shaun dead geoffrey rush wins best actor nomination role peter sellers biopic death peter sellers australian star faces competition daniel craig enduring love phil davis vera drake ian hart blind fight dead man shoes star paddy considine considine nominated best supporting actor award summer love rare nominee scarlett johansson best actress contenders role girl pearl earring fellow nominees imelda staunton vera drake natalie press summer love anne reid mother eva birthistle ae fond kiss shane meadows kevin mcdonald winners douglas hickox award best directorial debut best director nominations seasoned film makers roger michell mike leigh pavel pavlikowsky challenge award harry potter author jk rowling receive special award contribution,entertainment
20,director nair vanity project indian film director mira nair thrilled chance william makepeace thackeray novel vanity fair book favourite life book classics english literature story scheming 19th century social climber becky sharp film reese witherspoon nair jumped chance film controversially bollywood style including song dance routines film serendipity offered vanity fair studio focus features distributed monsoon wedding nair world masterpiece offered best thing realising vanity fair actually favourite novels 16 years irish catholic boarding school india 1988 debut feature salaam bombay nominated best language oscar winner best feature cannes nair india famous respected directors restricted bollywood followed salaam bombay mississippi masala starring denzel washington perez family hollywood film career peaked monsoon wedding 2001 won golden lion award venice nair indian style adaptation vanity fair attacked critics reached number box opening described bollywood elements jarring film ending becky sharp running life india nair film picked thackeray born india moved england young man world 16 becky sharp completely memorable character recognised recognised ladies ladies wanted buck sort novel kept bed years dip suddenly completely mesmerised older read thackeray clarity sightedness society fact born india england young man gave eyes outsider insider perspective loved nair defended cast actress reese witherspoon becky sharp fact rest cast irish cast intuitively films cast non actors cast actors intuition fall love actor visceral response thackeray describes becky sharp minx described tiny red headed thin reese completely minx irresistibility won physically perfectly suited witherspoon pregnant nair created need filming tricks fact helped film self fulfilling prophesy met husband actor ryan philippe knock won need flesh girl joked fan underfed los angeles actor becky sharp eventually blown woman course film love luminosity pregnancy brings love fleshiness love ample bosom gave nair explained camera tricks disguise witherspoon bump scenes including hiring number young boys costumes stand runs gets coal carts jumps horses nair certain carriage horses wipe screen certain moment bump,entertainment
21,sound music original stage production sound music performed austrian capital 40 film released scale theatrical production musical debut vienna saturday julie andrews starred 1965 film version rogers hammerstein classic alpine successful musicals barely known inside austria film shown cinema austria broadcast television 1990s musical true story von trapp family formed singing troupe escaped nazi occupied austria 1938 sensitivities nazism wartime austria issues von trapp family explain austria reluctance embrace musical source irritation austrians song edelweiss considered traditional folk song filmgoers song actually invention rodgers hammerstein consider film portray kitsch image austria yodelling goat herds lederhosen production staged viennese opera house volksoper beginning saturday maria novice nun falls love baron von trapp austro australian actress singer sandra pires,entertainment
22,lasting influence legend charles ray charles won string posthumous grammy awards belonged pioneering generation artists influence course rock pop music sound encompassed styles blues gospel jazz rock n roll country impact nascent beat r b scenes compared stature elvis presley commentators charles songs cast spell 1960s stalwarts joe cocker steve winwood eric burdon van morrison influence extended contemporary artists norah jones recorded duet james brown godfather soul ray charles indisputably founding fathers sam cooke instrumental bringing gospel fervour deep baptist church devil music r b pave generation soul artists charles imagine tear stained atlantic r b sound aretha franklin otis redding wilson pickett talented jazz composer arranger band newport jazz festival carnegie hall recording noted jazz musicians milt jackson fathead newman unfortunately shared trait common jazz artists era heroin addiction arrested 1965 string 1950s atlantic r b successes included songs covered generation rock n roll greats woman roy orbison elvis presley hallelujah love eddie cochran exuberance 1959 signature song d charles turned pop oriented style recording hoagy carmichael sentimental string ballad georgia mind upbeat road jack won acclaim country arena interpretations hank williams standards cheating heart 40 years release 1962 abc album modern sounds country western music regarded classic version gibson stop loving topped pop r b charts 1972 rare foray protest songs album message stand poverty civil rights echoing similar recordings era progeny stevie wonder james brown curtis mayfield marvin gaye years embrace contemporary production 1993 album world featured hip hop beats charles claimed hip hop tributes poured sections music world charles died aged 73 june friend producer quincy jones described brother sense word musician break perceived walls musical genres ray charles manfred mann singer paul jones sang 1960s hits tomorrow sha la la charles heroes sure writing influenced proposition ray charles influence music forever,entertainment
23,rapper 50 cent ends protege feud rapper 50 cent ended feud protege game pair wanted role models communities row blew 50 cent threw game g unit crew accused disloyal member game entourage reportedly shot outside radio station 50 cent interviewed pair shook hands handed money music projects york deprived areas wednesday game real jayceon taylor conference want apologise m ashamed participated things went weeks chart topper 50 cent real curtis jackson truce came anniversary death notorious big 1997 volatile feud east west coast rap scenes today people rise difficult circumstances negativity 50 cent people want happen responding important groups family fans boys choir harlem cheque 150 £ 77 800 50 cent game handed 103 500 £ 53 400 game contribution compton schools music programme 50 cent announced launched g unity foundation people overcome obstacles chance lives realised m effective overcome game need example community 50 cent stranger feuds rapper ja rule targets ridicule songs latest album released month turned attentions fat joe nas worked ja rule game admitted drug dealing past shot,entertainment
24,producers scoops stage awards producers beaten mary poppins battle blockbuster musicals olivier awards producers won prizes prestigious theatre awards mary poppins won mel brooks hit triumphed battle best new musical mary poppins andrew lloyd webber woman white alan bennett history boys straight theatre categories picking trophies eyes musical prizes producers mary poppins woman white profile openings producers nathan lane minute replacement richard dreyfuss beat co star lee evans best musical actor lane production smash hit broadway moving london won best musical performance supporting role conleth hill plays director roger debris mary poppins awards best choreography best musical actress star laura michelle kelly nominations ceremony london hilton hotel awards stage adaptations 1960s history boys set grammar 1980s partly bennett experiences teacher best new play won best actor richard griffiths beat harry potter co star gambon nominated endgame jonathan pryce ben whishaw play won theatre artistic director nicholas hytner best director bennett special award outstanding contribution british theatre dame judi dench starred ends gielgud best supporting role category amanda harris emilia othello royal shakespeare company olivier awards handed society london 1976 best lighting design dark materials designed paule constable olivier best sound design woman white designed mick potter palace best new opera lady macbeth mtsensk royal opera house outstanding achievement opera thomas ades royal opera house premiere tempest best costume design ends designed deirdre clancy gielgud best revival hamlet william shakespeare vic best set design dark materials designed giles cadle olivier outstanding musical production hotel donmar warehouse best supporting role musical conleth hill producers theatre royal drury lane best theatre choreographer matthew bourne stephen mear mary poppins prince edward best actor richard griffiths history boys lyttelton outstanding achievement performance affiliate theatre andrew scott girl car jerwood theatre upstairs royal best new dance production rambert dance company swamp sadler wells outstanding achievement dance san francisco ballet sadler wells best performance supporting role amanda harris othello trafalgar studios best actress clare higgins hecuba donmar warehouse best musical actor nathan lane producers theatre royal drury lane best musical actress laura michelle kelly mary poppins prince edward best director nicholas hytner history boys lyttelton best new play history boys alan bennett lyttelton best new musical producers theatre royal drury lane special award alan bennett outstanding contribution british theatre,entertainment
25,brits return keane number brits success helped return keane award winning album hopes fears album chart debut album took best british album title brits tuesday moved seven places number number capitalising brits success scissor sisters eponymous album moved places number u2 latest single took spot singles chart elvis track album dismantle atomic bomb pushed eminem toy soldiers number number elvis wooden heart entered chart number sixth series 18 reissues mark 70th anniversary presley birth released elvis tracks occupying spots 40 singles chart lonesome tonight number number 27 jailhouse rock number 37 soldier destiny child ti lil wayne debuted number duet westlife star brian mcfadden delta goodrem fell number number follow brits success franz ferdinand best rock act best british week self titled album moved 13 number week number album tourist athlete fell number,entertainment
26,soul sensation ready awards south west teenage singing sensation joss stone nominated categories wednesday brit awards 17 old small east devon village near cullumpton received nominations best solo female best urban act best breakthrough artist second album mind body soul reached number charts october went straight charts number 11 ms stone perform 25th award ceremony london earls court teenager grammy nominations normally dominated home grown acts born jocelyn stoker devon diva started career talent programme discovered york audition executive steve greenberg 17 old singer hoping tour japan australia,entertainment
27,ocean raids box office ocean crime caper sequel starring george clooney brad pitt julia roberts gone straight number box office chart took 40 8 m £ 21 m weekend ticket sales studio estimates sequel follows master criminals try pull heists knocked number treasure wesley snipes blade trinity taking 16 1 m £ 8 m rounding animated fable polar express starring tom hanks festive comedy christmas kranks ocean box office triumph marks fourth opening december release films lord rings trilogy sequel narrowly beat 2001 predecessor ocean took 38 1 m £ 19 8 m opening weekend 184 m £ 95 8 m total remake 1960s starring frank sinatra rat pack ocean directed oscar winning steven soderbergh soderbergh returns direct sequel reunites clooney pitt roberts matt damon andy garcia elliott gould catherine zeta jones joins star cast fun holiday movie dan fellman president distribution warner bros critics complimentary 110 m £ 57 m project los angeles times labelling dispiriting vanity project milder review york times dubbed sequel unabashedly trivial,entertainment
28,dvd review spider man 2 universal rule film superhero special effects extravaganza spider man 2 breaks rule fantastically deep quickly drawn tale spidey versus doc ock fate poor peter parker gigantic set pieces seamlessly brooding personal torment looks stunning effects look false tobey maguire kirsten dunst alfred molina compelling universal rule dvds superhero films features effects disc covers special effects detailed look film commentaries trailers blooper reel quality comes bulk set contains 34 wayne films ranging westerns war movies quiet man christmas present 24 truly complete collection leans wayne films true grit instance hellraisers films look transferred dvd extras daft knew famous 1979 series cult favourite awaited dvd set season buck gil gerard wilma erin gray tongue cheek adventures camp gaudy remember disappointment dvd po faced season import price bigger omission extras particularly disappointing originally meant commentaries stars gerard gray agreed,entertainment
29,tautou film tops cesar prize nods french film engagement received nominations france cesar film awards ruling french war romantic drama starring audrey tautou recently ruled american paris court partially backed warner bros cesar organisers modified rules allow film compete film directed jean pierre jeunet received best actress picture nominations november court judged film american compete french film festivals associations french producers challenged jeunet french subsidies warner bros backer ruling meant movie filmed france french actors technicians eligible compete french prizes alain terzian cesar organisers academie des arts et techniques du cinema changes eligibility rules allow films french expression prior court films best film category include police drama 36 quai des orfevres arnaud desplechin kings queen abdellatif kechiche l esquive france film box chorus best actors daniel auteuil 36 mathieu amalric kings queen gerard jugnot chorus philippe torreton l equipier benoit poelvoorde podium tautou compete maggie cheung emmanuelle devos yolande moreau karin viard best actress moore fahrenheit 9 11 motorcycle diaries translation eternal sunshine spotless mind 21 grams vying best foreign film prize awards ceremony 26 february smith star robot independence men black given honorary cesar french singer actor jacques dutronc,entertainment
30,downloads enter singles chart digital music downloads included main singles chart time billboard hot 100 chart incorporates data sales music downloads previously assigned separate download chart green day boulevard broken dreams number billboard pop chart tops digital chart download sales incorporated uk singles chart later year digital sales compile billboard hot digital sales chart tallied sales physical singles airplay information new hot 100 chart new chart pop 100 combines airplay digital physical sales confines airplay information radio stations play chart music addition green day artists current digital sales include kelly clarkson killers sales legally downloaded songs shot tenfold 2004 200 million track purchased online international federation phonographic industry ifpi reported month uk sales song downloads overtook physical singles time year december 2004 saw download sales 312 000 compared 282 000 physical singles according british phonographic industry uk official music download chart launched september compiling popular tracks downloaded legal uk sites including itunes od2 mycokemusic com napster westlife flying wings 1999 track reissued occasion number uk download chart spokesman british phonographic industry bpi combined uk download sales chart compiled year music right sure new chart works plan bpi spokesman described uk music download chart compiled official charts having success launch provided focus industry driven interest downloads music fans,entertainment
31,mansfield 0 leyton orient second half goal andy scott condemned mansfield ninth successive early second half wayne carlisle cross met scott blasted ball outside penalty area orient chased second mansfield clear alan white header kevin pilkington saved simpson mansfield fans chanting head chairman keith haslam pilkington talbot buxton dimech artell corden murray curtis neil warne barker subs white mcintosh wood lloyd herron harrison lockwood donny barnard white mackie scott saah simpson carlisle lee barnard ibehre subs morris wardley newey zakuani mcmahon scott 51 803 mathieson cheshire,sport
32,rapper jay z label boss rap star jay z company executive charge hip hop influential labels def jam jay z music black album company executive def jam parent company universal appointment buying jay z roc fella label def jam artists ll cool j dmx ludacris ja rule ashanti jay z continue run roc fella founded damon dash 1995 kanye west beanie sigel roster universal wednesday bought 50 roc fella antonio la reid chairman island def jam music relevant credible hip hop community build def jam fantastic legacy hoped jay z company groundbreaking era jay z shawn carter inherited brands hip hop def jam roc fella feel giant step entire artist community successful respected rap stars jay z hits included knock dirt shoulder 03 bonnie clyde girlfriend beyonce knowles retire black album released album ill fated tour r kelly def jam founded 1984 russell simmons producer rick rubin signed artists run dmc beastie boys enemy,entertainment
33,hollywood hunts hits sundance sundance film festival movie destination uncovering independent hits talent opens thursday event screen executives decamp hollywood park city utah 11 search low key movies big water napoleon dynamite garden super size snapped festival stars keanu reeves pierce brosnan films showing festival opened screening quirky comedy happy endings starring friends actress lisa kudrow maggie gyllenhaal thursday kudrow friends co star david schwimmer plays divorced drunkard duane hopwood brosnan stars man comedy matador keanu reeves appears coming age tale thumbsucker kevin costner keaton big names films involved robert redford founded sundance 1981 gone showcase successes reservoir dogs blair witch project monty received criticism commercial mainstream press argues sundance completely changed hasn changed festival director geoffrey gilmore place discovery place common ground film makers audiences celebrity stuff films generating interest festival include hustle flow aspiring rapper squid whale autobiographical film writer director noah baumbach comedy drama pretty persuasion cinema competitions,entertainment
34,hoffman hits modern film hollywood legend dustin hoffman quality current films theatre productions star rain man tootsie film culture craphouse press conference tuesday 67 old stopped working years ago lost spark acting hoffman uk publicise comedy meet fockers stars robert de niro barbra streisand ben stiller cinema realise watching act second act massive film making spend incredible money right demographic tell money film weekend culture craphouse true movies true theatre broadway special effects demand good culturally hoffman stopped working years ago moved directing writing lost spark couple years ago didn t parts getting studios weren t interested kind films generation wanted thought stop try writing directing wasn t aware depression recently hoffmann returned film roles heart huckabees finding neverland meet fockers sequel meet parents meet fockers opens uk friday,entertainment
